[0mPOST /api/auth/super-admin [32m200[0m 409.514 ms - 677[0m
POST /api/auth/logout 200 52 - 230.648 ms
POST /api/auth/super-admin 200 677 - 484.453 ms
PATCH /api/orders/c7f7b483-5212-47c6-9fb1-1758d090f7be/confirm 400 724 - 232.347 ms
PATCH /api/orders/c7f7b483-5212-47c6-9fb1-1758d090f7be/confirm 400 724 - 262.860 ms
POST /api/orders 400 719 - 147.253 ms
POST /api/orders 400 719 - 224.580 ms
POST /api/auth/logout 401 497 - 116.307 ms
POST /api/auth/super-admin 200 677 - 677.711 ms
POST /api/orders 500 - - 180.970 ms
POST /api/orders 500 - - 147.237 ms
POST /api/orders 500 - - 245.162 ms
POST /api/orders 201 - - 268.937 ms
PATCH /api/orders/37016265-a9a2-4f6a-acfe-ffb19f289f37/confirm 200 - - 332.099 ms
POST /api/orders/37016265-a9a2-4f6a-acfe-ffb19f289f37/invoice/advance 500 - - 311.617 ms
POST /api/orders/37016265-a9a2-4f6a-acfe-ffb19f289f37/generate 400 774 - 324.272 ms
POST /api/orders/37016265-a9a2-4f6a-acfe-ffb19f289f37/invoice/advance 500 - - 436.064 ms
PATCH /api/orders/37016265-a9a2-4f6a-acfe-ffb19f289f37/payment/advance 400 776 - 300.566 ms
POST /api/orders/37016265-a9a2-4f6a-acfe-ffb19f289f37/invoice/advance 500 - - 156.871 ms
POST /api/orders 401 497 - 150.828 ms
POST /api/auth/super-admin 200 677 - 480.714 ms
POST /api/orders 201 - - 203.408 ms
PATCH /api/orders/65145550-2013-4263-bec3-d9280ef8e4f4/confirm 200 - - 264.344 ms
POST /api/orders/65145550-2013-4263-bec3-d9280ef8e4f4/invoice/advance 201 - - 168.396 ms
PATCH /api/orders/65145550-2013-4263-bec3-d9280ef8e4f4/payment/advance 200 - - 264.159 ms
POST /api/orders/65145550-2013-4263-bec3-d9280ef8e4f4/generate 201 140 - 3126.061 ms
POST /api/orders/65145550-2013-4263-bec3-d9280ef8e4f4/design 201 - - 326.619 ms
POST /api/auth/logout 200 52 - 243.778 ms
POST /api/auth/super-admin 200 677 - 355.082 ms
POST /api/orders 201 - - 173.904 ms
PATCH /api/orders/b1af97ed-5733-4fbf-8f83-13e8750575e9/confirm 200 - - 321.599 ms
POST /api/orders/b1af97ed-5733-4fbf-8f83-13e8750575e9/invoice/advance 201 - - 160.103 ms
PATCH /api/orders/b1af97ed-5733-4fbf-8f83-13e8750575e9/payment/advance 200 - - 173.447 ms
POST /api/orders/b1af97ed-5733-4fbf-8f83-13e8750575e9/generate 201 140 - 3133.074 ms
POST /api/orders/b1af97ed-5733-4fbf-8f83-13e8750575e9/design 201 - - 985.513 ms
POST /api/auth/logout 200 52 - 205.370 ms
POST /api/v1/auth/register/init 404 167 - 56.930 ms
POST /api/v1/auth/register/init 404 167 - 43.179 ms
POST /api/v1/auth/register/init 404 167 - 69.048 ms
POST /api/v1/auth/register/init 404 167 - 91.450 ms
POST /api/v1/auth/register/init 200 201 - 218.537 ms
POST /api/v1/auth/register/init 200 201 - 377.519 ms
POST /api/v1/auth/register/init 200 201 - 194.415 ms
POST /api/v1/auth/register/init 200 201 - 190.741 ms
POST /api/v1/auth/register/verify 400 - - 339.161 ms
POST /api/v1/auth/register/verify 429 136 - 122.450 ms
POST /api/v1/auth/register/init 429 136 - 84.374 ms
POST /api/v1/auth/register/init 429 136 - 100.474 ms
POST /api/v1/auth/register/init 429 136 - 84.368 ms
POST /api/v1/auth/register/init 429 136 - 131.168 ms
POST /api/v1/auth/register/init 429 136 - 98.613 ms
POST /api/v1/auth/register/init 429 136 - 146.255 ms
POST /api/v1/auth/register/init 200 201 - 178.624 ms
POST /api/v1/auth/register/verify 200 696 - 313.186 ms
POST /api/v1/auth/register/verify 400 665 - 151.845 ms
POST /api/v1/auth/register/verify 400 665 - 134.884 ms
POST /api/v1/auth/register/init 409 696 - 51.308 ms
POST /api/v1/auth/register/init 200 201 - 150.726 ms
POST /api/v1/auth/register/verify 200 697 - 474.250 ms
POST /api/v1/auth/register/verify 400 665 - 176.915 ms
POST /api/v1/auth/register/init 409 696 - 87.073 ms
POST /api/v1/auth/register/init 200 201 - 163.924 ms
POST /api/v1/auth/register/verify 200 693 - 477.063 ms
POST /api/v1/auth/send-otp 200 93 - 126.964 ms
POST /api/v1/auth/verify-otp 200 638 - 268.698 ms
GET /api/v1/parents/me 200 - - 435.797 ms
POST /api/v1/auth/send-otp 200 93 - 206.159 ms
POST /api/v1/auth/verify-otp 200 638 - 226.880 ms
GET /api/v1/parents/me 200 - - 443.256 ms
POST /api/v1/auth/send-otp 200 93 - 109.753 ms
POST /api/v1/auth/verify-otp 200 638 - 226.733 ms
GET /api/v1/parents/me 200 - - 425.320 ms
PATCH /api/v1/parents/me/visibility 500 74 - 186.864 ms
POST /api/v1/auth/logout 401 - - 46.784 ms
